time,lux_level
2022-05-09 21:22:18,417.92
2022-05-09 21:24:48,422.5
2022-05-09 21:32:18,2.92
2022-05-09 21:37:18,3.33
2022-05-09 21:42:18,2.92
2022-05-09 21:49:48,2.92
2022-05-09 21:57:18,2.92
2022-05-09 22:02:18,2.92
2022-05-09 22:07:18,2.92
2022-05-09 22:09:48,2.92
2022-05-09 22:14:48,2.92
2022-05-09 22:19:48,3.33
2022-05-09 22:24:48,2.92
2022-05-09 22:32:18,3.33
2022-05-09 22:37:18,3.33
2022-05-09 22:42:18,2.92
2022-05-09 22:49:48,2.92
2022-05-09 22:54:48,2.92
2022-05-09 22:59:48,2.92
2022-05-09 23:04:48,3.33
2022-05-09 23:09:48,2.92
2022-05-09 23:12:18,2.92
2022-05-09 23:17:18,2.92
2022-05-09 23:22:18,2.92
2022-05-09 23:29:48,2.92
2022-05-09 23:34:48,2.92
2022-05-09 23:37:18,2.5
2022-05-09 23:42:18,2.92
2022-05-09 23:49:48,2.92
2022-05-09 23:54:48,2.92
2022-05-10 00:02:18,2.92
2022-05-10 00:04:48,3.33
2022-05-10 00:09:48,2.92
2022-05-10 00:14:48,421.25
2022-05-10 00:19:48,422.08
2022-05-10 00:27:18,422.5
2022-05-10 00:34:48,420.42
2022-05-10 00:44:48,422.92
2022-05-10 00:52:19,420.0
2022-05-10 01:02:18,419.17
2022-05-10 01:07:18,423.75
2022-05-10 01:09:48,419.17
2022-05-10 01:17:18,423.33
2022-05-10 01:19:48,419.58
2022-05-10 01:24:48,419.17
2022-05-10 01:27:18,420.0
2022-05-10 01:32:18,417.92
2022-05-10 01:34:48,426.67
2022-05-10 01:42:18,419.17
2022-05-10 01:44:49,420.42
2022-05-10 01:49:48,418.75
2022-05-10 01:57:18,424.58
2022-05-10 02:02:18,422.92
2022-05-10 02:09:48,426.67
2022-05-10 02:14:48,420.42
2022-05-10 02:22:18,420.42
2022-05-10 02:32:18,420.42
2022-05-10 02:39:48,419.58
2022-05-10 02:44:48,420.0
2022-05-10 02:49:48,419.17
2022-05-10 02:54:48,422.08
2022-05-10 02:59:48,422.5
2022-05-10 03:04:48,420.83
2022-05-10 03:12:18,418.33
2022-05-10 03:17:18,420.83
2022-05-10 03:19:48,420.42
2022-05-10 03:24:48,423.33
2022-05-10 03:27:18,420.42
2022-05-10 03:29:48,416.25
2022-05-10 03:37:18,420.0
2022-05-10 03:39:48,418.75
2022-05-10 03:42:18,421.67
2022-05-10 03:47:18,420.0
2022-05-10 03:54:48,425.42
2022-05-10 03:59:48,420.42
2022-05-10 04:02:18,421.25
2022-05-10 04:07:18,420.0
2022-05-10 04:14:48,437.08
2022-05-10 04:19:48,437.92
2022-05-10 04:24:48,434.58
2022-05-10 04:32:18,439.17
2022-05-10 04:37:18,440.42
2022-05-10 04:39:48,438.75
2022-05-10 04:44:48,439.58
2022-05-10 04:49:49,437.5
2022-05-10 04:57:18,430.83
2022-05-10 05:02:19,433.75
2022-05-10 05:09:48,439.17
2022-05-10 05:12:18,439.58
2022-05-10 05:17:19,439.58
2022-05-10 05:24:48,438.33
2022-05-10 05:29:48,431.25
2022-05-10 05:32:18,437.92
2022-05-10 05:37:19,437.92
2022-05-10 05:39:48,438.33
2022-05-10 05:44:48,437.92
2022-05-10 05:49:48,438.75
2022-05-10 05:57:18,428.75
2022-05-10 06:02:18,437.08
2022-05-10 06:09:48,434.17
2022-05-10 06:14:48,430.83
2022-05-10 06:22:18,437.92
2022-05-10 06:27:18,429.58
2022-05-10 06:29:48,429.58
2022-05-10 06:42:18,437.5
2022-05-10 06:54:48,430.0
2022-05-10 07:02:18,433.75
2022-05-10 07:07:19,437.92
2022-05-10 07:14:49,439.58
2022-05-10 07:17:19,439.17
2022-05-10 07:22:19,722.5
2022-05-10 07:37:19,710.0
2022-05-10 07:42:19,709.58
2022-05-10 07:44:49,714.17
2022-05-10 07:54:49,718.33
2022-05-10 08:02:19,717.5
2022-05-10 08:14:48,705.83
2022-05-10 08:17:18,707.5
2022-05-10 08:22:19,709.17
2022-05-10 08:29:48,709.17
2022-05-10 08:37:18,718.75
2022-05-10 08:39:50,712.5
2022-05-10 08:42:19,698.75
2022-05-10 08:49:48,707.92
2022-05-10 08:54:49,716.25
2022-05-10 09:02:19,702.08
2022-05-10 09:07:19,702.5
2022-05-10 09:09:49,700.42
2022-05-10 09:14:49,724.17
2022-05-10 09:22:19,718.75
2022-05-10 09:29:49,722.5
2022-05-10 09:32:20,720.42
2022-05-10 09:34:48,717.08
2022-05-10 09:37:18,725.83
2022-05-10 09:42:19,700.83
2022-05-10 09:44:48,698.33
2022-05-10 09:47:18,699.17
2022-05-10 09:52:18,707.92
2022-05-10 09:59:49,702.5
2022-05-10 10:04:49,709.58
2022-05-10 10:12:19,467.08
2022-05-10 10:17:19,472.92
2022-05-10 10:22:18,732.08
2022-05-10 10:27:19,728.33
2022-05-10 10:29:49,726.25
2022-05-10 10:34:48,730.0
2022-05-10 10:39:48,728.33
2022-05-10 10:44:48,727.5
2022-05-10 10:47:21,717.92
2022-05-10 10:52:18,725.42
2022-05-10 10:59:49,707.92
2022-05-10 11:04:49,689.58
2022-05-10 11:12:19,703.75
2022-05-10 11:17:19,689.17
2022-05-10 11:22:18,707.08
2022-05-10 11:34:49,708.33
2022-05-10 11:37:19,715.0
2022-05-10 11:42:19,706.25
2022-05-10 11:49:49,740.0
2022-05-10 12:04:32,795.83
2022-05-10 12:15:48,789.17
2022-05-10 12:20:48,789.17
2022-05-10 12:28:18,783.33
2022-05-10 12:30:48,795.83
2022-05-10 12:35:48,794.17
2022-05-10 12:40:48,797.5
2022-05-10 12:43:18,798.33
2022-05-10 12:48:18,797.08
2022-05-10 12:53:18,797.08
2022-05-10 12:55:48,797.92
2022-05-10 12:58:18,792.92
2022-05-10 13:05:48,798.33
2022-05-10 13:10:48,795.83
2022-05-10 13:13:18,792.5
2022-05-10 13:18:18,793.33
2022-05-10 13:20:48,794.58
2022-05-10 13:25:48,794.17
2022-05-10 13:30:48,781.67
2022-05-10 13:38:18,793.75
2022-05-10 13:48:18,795.0
2022-05-10 13:53:18,795.0
2022-05-10 13:58:18,796.67
2022-05-10 14:10:48,780.83
2022-05-10 14:15:48,792.08
2022-05-10 14:23:18,793.33
2022-05-10 14:30:48,793.75
2022-05-10 14:35:48,794.17
2022-05-10 14:40:48,793.75
2022-05-10 14:43:18,793.33
2022-05-10 14:48:18,795.0
2022-05-10 14:53:18,792.92
2022-05-10 14:58:18,792.5
2022-05-10 15:00:48,793.75
2022-05-10 15:09:59,789.58
2022-05-10 15:17:29,792.92
2022-05-10 15:20:01,793.33
2022-05-10 15:24:59,793.33
2022-05-10 15:29:59,604.58
2022-05-10 15:32:29,634.17
2022-05-10 15:37:29,647.5
2022-05-10 15:42:29,639.58
2022-05-10 15:49:59,636.67
2022-05-10 15:54:59,635.42
2022-05-10 15:57:31,631.25
