time,wtemp_level
2022-05-09 21:23:57,18.5
2022-05-09 21:26:27,18.5
2022-05-09 21:28:58,18.5
2022-05-09 21:33:59,18.56
2022-05-09 21:41:31,18.56
2022-05-09 21:49:03,18.5
2022-05-09 21:56:36,18.56
2022-05-09 22:01:37,18.56
2022-05-09 22:04:08,18.5
2022-05-09 22:09:10,18.56
2022-05-09 22:11:40,18.56
2022-05-09 22:14:11,18.56
2022-05-09 22:16:43,18.5
2022-05-09 22:21:44,18.5
2022-05-09 22:29:16,18.56
2022-05-09 22:36:48,18.56
2022-05-09 22:39:19,18.5
2022-05-09 22:44:20,18.5
2022-05-09 22:49:21,18.56
2022-05-09 22:51:52,18.56
2022-05-09 22:56:53,18.5
2022-05-09 23:04:25,18.5
2022-05-09 23:09:25,18.5
2022-05-09 23:14:25,18.5
2022-05-09 23:19:26,18.5
2022-05-09 23:26:58,18.5
2022-05-09 23:34:30,18.5
2022-05-09 23:39:31,18.5
2022-05-09 23:44:33,18.5
2022-05-09 23:52:04,18.5
2022-05-09 23:59:37,18.5
2022-05-10 00:02:07,18.5
2022-05-10 00:04:38,18.5
2022-05-10 00:09:40,18.5
2022-05-10 00:14:40,18.5
2022-05-10 00:17:10,18.5
2022-05-10 00:19:41,18.5
2022-05-10 00:29:44,18.5
2022-05-10 00:32:14,18.5
2022-05-10 00:34:45,18.5
2022-05-10 00:37:16,18.5
2022-05-10 00:39:46,18.5
2022-05-10 00:49:48,18.5
2022-05-10 00:52:18,18.5
2022-05-10 00:57:20,18.5
2022-05-10 00:59:50,18.5
2022-05-10 01:09:52,18.5
2022-05-10 01:12:22,18.5
2022-05-10 01:14:54,18.5
2022-05-10 01:17:24,18.5
2022-05-10 01:19:55,18.5
2022-05-10 01:22:26,18.5
2022-05-10 01:29:56,18.5
2022-05-10 01:34:57,18.44
2022-05-10 01:37:27,18.44
2022-05-10 01:42:30,18.44
2022-05-10 01:45:01,18.44
2022-05-10 01:47:31,18.44
2022-05-10 01:52:32,18.44
2022-05-10 01:55:03,18.44
2022-05-10 02:00:05,18.44
2022-05-10 02:07:36,18.38
2022-05-10 02:10:07,18.44
2022-05-10 02:12:38,18.38
2022-05-10 02:15:08,18.38
2022-05-10 02:30:13,18.38
2022-05-10 02:37:44,18.38
2022-05-10 02:40:15,18.38
2022-05-10 02:42:46,18.31
2022-05-10 02:47:47,18.31
2022-05-10 02:55:18,18.31
2022-05-10 02:57:49,18.31
2022-05-10 03:02:49,18.31
2022-05-10 03:05:20,18.31
2022-05-10 03:12:51,18.31
