time,ec_level
2022-05-09 21:23:56,0.1
2022-05-09 21:26:27,0.1
2022-05-09 21:33:59,0.12
2022-05-09 21:39:00,0.13
2022-05-09 21:41:31,0.1
2022-05-09 21:46:32,0.12
2022-05-09 21:54:05,0.12
2022-05-09 21:56:36,0.1
2022-05-09 22:01:36,0.1
2022-05-09 22:09:09,0.14
2022-05-09 22:21:44,0.12
2022-05-09 22:29:16,0.12
2022-05-09 22:36:48,0.1
2022-05-09 22:46:50,0.13
2022-05-09 22:49:21,0.1
2022-05-09 22:56:53,0.14
2022-05-09 23:04:24,0.1
2022-05-09 23:09:25,0.12
2022-05-09 23:14:25,0.13
2022-05-09 23:19:26,0.14
2022-05-09 23:26:58,0.1
2022-05-09 23:32:00,0.12
2022-05-09 23:34:30,0.1
2022-05-09 23:39:31,0.1
2022-05-09 23:44:33,0.1
2022-05-09 23:49:33,0.13
2022-05-10 00:02:07,0.1
2022-05-10 00:04:38,0.11
2022-05-10 00:09:40,0.13
2022-05-10 00:14:40,0.1
2022-05-10 00:29:43,0.13
2022-05-10 00:32:14,0.12
2022-05-10 00:34:45,0.13
2022-05-10 00:37:15,0.1
2022-05-10 00:49:47,0.1
2022-05-10 00:52:18,0.11
2022-05-10 00:54:50,0.1
2022-05-10 00:57:20,0.1
2022-05-10 00:59:50,0.1
2022-05-10 01:07:22,0.12
2022-05-10 01:09:52,0.1
2022-05-10 01:12:22,0.1
2022-05-10 01:14:53,0.1
2022-05-10 01:17:24,0.11
2022-05-10 01:19:54,0.14
2022-05-10 01:22:25,0.12
2022-05-10 01:27:25,0.1
2022-05-10 01:29:56,0.1
2022-05-10 01:42:29,0.1
2022-05-10 01:45:01,0.1
2022-05-10 01:52:32,0.1
2022-05-10 01:55:03,0.1
2022-05-10 01:57:34,0.1
2022-05-10 02:00:05,0.11
2022-05-10 02:07:35,0.13
2022-05-10 02:10:06,0.13
2022-05-10 02:12:37,0.1
2022-05-10 02:27:42,0.1
2022-05-10 02:30:13,0.1
2022-05-10 02:37:43,0.1
2022-05-10 02:40:14,0.1
2022-05-10 02:42:45,0.1
2022-05-10 02:45:15,0.1
2022-05-10 02:47:46,0.1
2022-05-10 02:55:18,0.14
2022-05-10 03:02:49,0.1
2022-05-10 03:05:20,0.1
2022-05-10 03:12:51,0.1
2022-05-10 03:15:22,0.1
2022-05-10 03:17:53,0.1
2022-05-10 03:20:24,0.1
2022-05-10 03:27:55,0.1
2022-05-10 03:35:26,0.1
2022-05-10 03:37:57,0.1
2022-05-10 03:40:28,0.12
2022-05-10 03:45:29,0.1
2022-05-10 03:50:29,0.1
2022-05-10 03:58:01,0.11
2022-05-10 04:03:02,0.1
2022-05-10 04:08:03,0.13
2022-05-10 04:13:04,0.1
2022-05-10 04:18:04,0.11
2022-05-10 04:23:05,0.1
2022-05-10 04:28:06,0.1
2022-05-10 04:35:37,0.11
2022-05-10 04:40:39,0.1
2022-05-10 04:43:11,0.1
2022-05-10 04:45:41,0.1
2022-05-10 04:48:11,0.1
